회사명,종목코드,폐지일자,폐지사유,비고
엠제이비,74150,2016-09-05,감사의견거절(감사범위 제한),
벨로체피아노,40750,2003-04-24,감사의견 거절(취소사유발생일: '03.4.9),
한신코퍼,37120,2004-10-21,감사의견 거절(취소사유발생일 : 2004년 9월 30일),
팬텀엔터그룹,25460,2009-04-29,감사범위 제한에 따른 감사의견 거절,
IDH,26230,2009-04-29,감사범위 제한에 따른 감사의견 거절,
블루멈,33880,2009-09-04,"- 2회연속 자본잠식률 50% 이상 - 2009.3.31 자본잠식률 50% 이상으로 관리종목 지정 후, 최근 반기의 재무제표에 대한 감사인의 감사의견 거절",
네오리소스,58550,2009-09-15,자본잠식률 50%이상 및 자기자본 10억원 미만으로 관리종목 지정 후 반기의 재무제표에 대한 감사의견 거절,
아이드림,66850,2009-10-07,자본잠식률 50%이상으로 관리종목 지정 후 반기 재무제표에 대한 감사의견 거절,
플러스프로핏,36660,2009-11-20,감사범위 제한에 따른 감사의견 거절,
제넥셀,34660,2010-04-15,감사범위제한으로 인한 감사의견 거절,
이루넷,41030,2010-05-05,감사범위제한으로 인한 감사의견 거절,
오페스,53470,2010-05-08,감사범위제한으로 인한 감사의견 거절,
글로웍스,34600,2011-06-29,자본잠식률 50%이상으로 관리종목 지정 후 반기 재무제표에 대한 감사의견 거절,
클라스타,37550,2011-10-26,"자본잠식률 50% 이상으로 관리종목 지정 후, 최근 반기의 재무제표에 대한 감사인의 감사의견 거절",
보광티에스,66690,2012-05-01,감사의견 거절(감사범위 제한 및 계속기업존속불확실성),
아라온테크,41060,2014-05-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
에버테크노,70480,2014-07-17,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성,
유니드코리아,110500,2014-09-02,감사의견 거절(계속기업 존속능력에 대한 불확실성),
디지텍시스템,91690,2015-01-21,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
잘만테크,90120,2015-05-13,감사의견 거절(계속기업 존속능력에 대한 불확실성 및 감사범위 제한),
GT&T,53870,2015-10-15,'14사업연도 자본잠식률 50%이상 사유로 관리종목 지정 후 '15사업연도 반기 감사의견 거절,
아이디에스,78780,2016-04-28,'14사업연도 자본잠식률 50%이상 사유로 관리종목 지정 후 '15사업연도 반기 감사의견 거절,
오상헬스케어,36220,2016-05-09,감사의견 거절(감사범위 제한으로 인한 의견거절),
아이팩토리,53810,2016-09-19,감사의견 거절(감사범위 제한 및 기업회계기준 위배),
신양오라컴,86830,2017-05-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
에스에스컴텍,36500,2017-05-11,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
엔에스브이,95300,2017-09-12,"감사의견 거절(내부회계관리제도상의 취약점, 계속기업가정의 불확실성 및 재고자산 관련 감사범위 제한)",
세원텔레콤,36910,2004-06-01,회사정리절차 개시신청 (취소사유발생일 : 2004년 5월 3일),
삼주건설,25150,2000-06-07,"주식분산기준미달 , 자본전액잠식(2년)",
동호전기,22510,2000-06-07,"자본전액잠식(2년) , 기타 등록취소",
두원중공업,13900,2000-06-07,자본전액잠식(2년),
에스씨옵티콤,14090,2000-06-07,자본전액잠식(2년),
금강정공,22770,2000-06-07,"자본전액잠식(2년) , 기타 등록취소",
동양기공,18720,2000-06-07,"자본전액잠식(2년) , 기타 등록취소",
삼경정밀,13320,2000-06-07,자본전액잠식(2년),
동신특강,24920,2000-06-07,"자본전액잠식(2년) , 기타 등록취소",
보성인터,33300,2001-05-25,자본전액잠식(2년),
풍연,17090,2001-05-25,자본전액잠식(2년),
하나에프앤아이,25080,2001-08-24,자본전액잠식(2년),
애드모바일,32600,2003-10-30,자본전액잠식(2년),
3R,37730,2004-04-22,자본전액잠식(취소사유발생일 : 2004년 4월 6일),
케이엔티,36590,2005-04-16,자본전액잠식(상장폐지사유발생일 : 2005년 03월 31일),
후야인포넷,32050,2005-04-26,자본전액잠식(상장폐지사유 발생일 : 2005년 04월 11일),
엠텍반도체,54440,2007-04-13,자본전액잠식,
이레전자산업,45310,2007-05-08,자본전액잠식,
엔토리노,32590,2008-04-12,자본전액잠식,
퓨쳐비젼,42570,2008-04-12,자본전액잠식,
모델라인,64720,2008-04-12,"자본전액잠식,최근3사업연도 연속 자기자본 대비 50%초과 법인세차감전계속사업손실",
UC아이콜스,65810,2008-04-17,"자본전액잠식, 2회연속 자본잠식률 50%이상, 2회연속 자기자본 10억원 미만",
도움,78610,2009-04-11,자본전액잠식,
우수씨엔에스,60550,2009-04-11,자본전액잠식,
에프아이투어,47370,2009-04-11,자본전액잠식,
이노블루,66200,2009-04-11,"2년연속 매출액 30억원 미달, 자본전액잠식",
포이보스,38810,2009-04-11,자본전액잠식,
산양전기,79870,2009-04-11,자본전액잠식,
디에스피,16040,2009-04-11,자본전액잠식,
미디어코프,53890,2009-04-11,자본전액잠식,
모빌링크,41310,2009-04-23,자본전액잠식,
희훈디앤지,19640,2009-04-23,자본전액잠식,
코스모스피엘씨,53170,2009-04-30,자본전액잠식,
포넷,48270,2009-05-04,자본전액잠식,
사라콤,40020,2009-05-27,자본전액잠식,
에이엠에스,44770,2009-10-07,"자본전액잠식, 2반기 연속 자본잠식률 50%이상, 2반기 연속 자기자본 10억원 미만",
이롬텍,45400,2010-02-11,"정기보고서 미제출로 관리종목 지정후 법정제출기한내 사업보고서 미제출, 2회 연속 정기주주총회 미개최 또는 재무제표 미승인, 자본전액잠식",
사이노젠,64060,2010-04-13,자본전액잠식,
중앙바이오텍,15170,2010-04-13,자본전액잠식,
유퍼트,60670,2010-04-13,자본전액잠식,
일공공일안경,32030,2010-04-13,자본전액잠식,
대주코레스,8340,2010-04-13,자본전액잠식,
중앙디자인,30030,2011-04-13,자본전액잠식,
스톰이앤에프,43680,2011-04-13,자본전액잠식 등,
대선조선,31990,2011-04-13,자본전액잠식 등,
엠엔에프씨,48640,2011-04-13,자본전액잠식 등,
미성포리테크,94700,2012-04-13,자본전액잠식,
미리넷,56710,2012-04-13,자본전액잠식,
아이스테이션,56010,2012-04-13,자본전액잠식 등,
유아이에너지,50050,2012-09-26,자본전액잠식,
휴먼텍코리아,66060,2013-04-12,자본전액잠식,
삼우이엠씨,26250,2013-04-12,자본전액잠식,
제너시스템즈,73930,2013-07-12,자본전액잠식,
태산엘시디,36210,2014-04-11,자본전액잠식등,
모린스,110310,2014-04-11,자본전액잠식 등,
쌍용건설,12650,2014-04-11,자본전액잠식 등,
