,MDD
004490,-0.5513513513513514
005090,-0.6662011173184358
005440,-0.7301075268817204
005690,-0.7272365805168987
006040,-0.6598915989159891
006120,-0.525830258302583
007340,-0.5364463723739049
009420,-0.6418269230769231
009450,-0.6208869814020028
009970,-0.6068866571018652
010050,-0.6370887337986042
001680,-0.5585284280936454
002840,-0.31072210065645517
003000,-0.737937210282343
003280,-0.9471561445386452
003520,-0.7221804511278196
003530,-0.43919885550786836
003540,-0.6166189111747851
004430,-0.7688603531300161
071840,-0.8605947955390335
085620,-0.6658986175115207
093050,-0.7537190082644628
097230,-0.9364503749603915
138490,-0.5439429928741093
145990,-0.7812206572769953
170900,-0.49407114624505927
192400,-0.6423913043478261
210980,-0.504708097928437
017810,-0.5933147632311978
017960,-0.34982578397212544
025540,-0.727922077922078
025860,-0.7935926773455377
033240,-0.8482876712328767
034310,-0.4260869565217391
034830,-0.6064690026954178
037560,-0.7949152542372881
049770,-0.6039156626506024
057050,-0.6945762711864407
064960,-0.49936868686868685
004690,-0.5537848605577689
005180,-0.5454545454545454
005610,-0.8181208053691276
006390,-0.8025516403402188
007810,-0.7876262626262627
008730,-0.5329087048832272
009160,-0.4033790918690602
000070,-0.7766323024054983
000370,-0.9135149668399355
000400,-0.7754189944134078
000640,-0.5754601226993865
001060,-0.6167913723195252
001430,-0.8533515731874145
001530,-0.42906118143459915
001720,-0.36741214057507987
001820,-0.6790697674418604
001880,-0.4154228855721393
002240,-0.7069836113981988
002350,-0.7353741496598639
002900,-0.8378176382660688
003030,-0.8019701431908195
003230,-0.5788546255506608
003470,-0.7428571428571429
000020,-0.6287128712871287
000050,-0.5898203592814372
000140,-0.5443298969072164
000230,-0.7193325124198547
000480,-0.3809090909090909
000490,-0.7298165137614679
001130,-0.6195426195426196
001200,-0.7276887871853547
001250,-0.7864516129032258
001390,-0.7442218798151001
001470,-0.7320143884892086
001500,-0.6143939393939394
001510,-0.7617430673457838
001520,-0.7503267973856209
001630,-0.5402877697841727
001780,-0.8104026845637584
001790,-0.3890160183066362
002020,-0.891219512195122
002150,-0.6622073578595318
002270,-0.7639508928571429
002310,-0.5888223552894212
002320,-0.5204050705129348
002780,-0.5245901639344263
002960,-0.528604118993135
002990,-0.7291925465838509
003060,-0.8400189888440541
003070,-0.43681747269890797
003220,-0.4604806887480569
003300,-0.7830288197814254
003570,-0.5480991072324205
003580,-0.8128571428571428
003620,-0.8626373626373627
004250,-0.6102941176470589
004700,-0.34767277856135403
004890,-0.5381062355658198
005390,-0.7406374501992032
005420,-0.8666666666666667
005500,-0.7139175257731959
005810,-0.6564154638427504
005950,-0.7247684349813545
006060,-0.6507462686567164
006740,-0.46017699115044247
007460,-0.9203488372093023
007570,-0.7781762295081968
007660,-0.747495627285737
007690,-0.4337748344370861
008040,-0.7312849162011174
008350,-0.7
008490,-0.3953098827470687
009290,-0.6146341463414634
009410,-0.38581560283687943
010690,-0.8229299363057325
011690,-0.9039370078740158
011700,-0.8014329580348004
011930,-0.6014669926650367
012630,-0.8199801140823696
016580,-0.6194852941176471
016590,-0.6100961538461539
016800,-0.39676840215439857
017940,-0.6972972972972973
018470,-0.44783493170589944
024090,-0.33125
024720,-0.7654639175257731
026890,-0.6088669950738916
027410,-0.9621517824840675
029460,-0.6438563327032136
029530,-0.7332421340629275
030610,-0.6345679012345679
033180,-0.922554509710473
033270,-0.7353233830845771
037270,-0.40696517412935324
053210,-0.7232558139534884
058650,-0.7339130434782609
060980,-0.6482014388489209
068400,-0.7531172069825436
071320,-0.7025171624713958
072710,-0.5328413284132841
075580,-0.39231738035264485
077500,-0.671875
081000,-0.6513353115727003
082740,-0.7237609329446064
084010,-0.4518664047151277
084680,-0.6959247648902821
084690,-0.7342741935483871
092220,-0.39880952380952384
095570,-0.7687793427230047
095720,-0.7552621746170133
102460,-0.6643550624133149
104700,-0.7027027027027027
107590,-0.7348
108670,-0.7253275109170305
115390,-0.787741935483871
117580,-0.41456582633053224
122900,-0.578397212543554
123890,-0.8217014773306164
126560,-0.4900523560209424
128820,-0.6549789621318373
130660,-0.4618384401114206
136490,-0.7493330648814617
161000,-0.766754617414248
183190,-0.7987980769230769
213500,-0.6133333333333333
226320,-0.8852112676056338
155660,-0.8809917355371901
163560,-0.7291068788590312
194370,-0.7502415458937198
200880,-0.8933139534883721
210540,-0.8285185185185185
214330,-0.6939704209328783
214390,-0.7228486646884273
214420,-0.8636488843999632
227840,-0.8432795698924731
229640,-0.3978260869565217
234080,-0.6565008025682183
248170,-0.626008064516129
025820,-0.7545161290322581
027740,-0.8516647234097681
028100,-0.631578947368421
030210,-0.7818840579710145
031440,-0.7819718309859155
031820,-0.6358244365361803
032560,-0.7795026375282592
033530,-0.7982062780269058
033920,-0.8616257088846881
034300,-0.5008403361344538
034590,-0.32636655948553056
035000,-0.7068965517241379
035150,-0.6554545454545454
035510,-0.6048
036530,-0.41660560284087705
036580,-0.8187279151943463
037710,-0.5534709193245778
039570,-0.7403598971722365
044450,-0.4753488372093023
044820,-0.8062222222222222
047400,-0.5159857904085258
053690,-0.6557971014492754
058430,-0.47165259348612787
058730,-0.6692913385826772
058850,-0.5807017543859649
063160,-0.6906862745098039
067830,-0.6701323251417769
068290,-0.5339622641509434
069460,-0.7730588426000973
070960,-0.825
071090,-0.8316749585406302
071970,-0.9944684789393254
074610,-0.8865784499054821
075180,-0.6469879518072289
077970,-0.8175879396984924
078000,-0.5236453201970444
078520,-0.8113408276889251
079430,-0.8262996941896025
079980,-0.7670329670329671
083420,-0.5635883905013193
089470,-0.7853319057815846
090350,-0.64921875
091090,-0.8224852071005917
092200,-0.8954213809876282
092230,-0.48411214953271026
092440,-0.5426356589147286
093230,-0.8184210526315789
094280,-0.44966442953020136
096760,-0.6760373443983403
100250,-0.475
100840,-0.3996316758747698
101140,-0.7043895747599451
101530,-0.8368298368298368
102260,-0.6809256661991585
102280,-0.7420382165605095
103590,-0.8204379562043795
105840,-0.715
120030,-0.4852459016393443
123690,-0.7035398230088495
129260,-0.7825417201540437
134380,-0.5475330926594465
134790,-0.6923076923076923
143210,-0.5991416309012876
009200,-0.6210268948655256
009270,-0.7165957446808511
009320,-0.6695869837296621
009440,-0.7029449423815621
009460,-0.6195402298850575
009470,-0.8480961923847695
009580,-0.7910714285714285
