회사명,거래소코드,회계년도,유동비율,차입금의존도,매출액증가율,유형자산증가율,총자본증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,재고자산회전률,매출채권회전률,총자본회전률,매입채무회전률,현금순환주기,WCTA,RETA,TLTA,이자보상배율,vol유동비율,vol매출액증가율,vol유형자산증가율,vol총자본증가율,vol매출액총이익률,vol매출액영업이익률,vol자기자본순이익률,vol총자본영업이익률,vol당좌비율,vol부채비율,vol이자보상배율,vol재고자산회전률,vol매출채권회전률,vol총자본회전률,vol매입채무회전률,부도
(주)한아시스템,36020,2004,29.11,179.88,-41.23,-8.78,-54.27,-104.16,-212.79,-380.96,-52.76,0.0,22.45,0.0,1.08,1.8,0.25,4.21,453.5,0.5811732765684702,-1.505048238408951,2.008091012244483,-6.288086251530693,-30.68,22.28,1.7599999999999998,-16.200000000000006,-110.91,-177.61,155.08,-44.49,-3.0700000000000003,-1143.01,-4.7331116185077216,0.1100000000000001,0.020000000000000014,0.010000000000000007,0.040000000000000036,1.0
(주)현대멀티캡,35910,2003,40.13,90.42,-44.75,-14.23,-24.22,5.86,-15.83,-27.4,-19.79,-455.58,31.79,-1246.19,9.28,5.1,1.25,10.73,76.82,0.3569531523563638,-0.6977901940784542,1.0872448630301168,-2.8258302489116383,-53.60999999999999,-10.04,-9.94,-12.12,-1.5,-8.21,10.879999999999995,-5.6,-32.45,-4456.72,-0.03914478224223617,0.6999999999999993,-1.2300000000000004,-0.6100000000000001,4.6000000000000005,1.0
(주)호성,35870,2003,90.71,46.86,6.41,-0.07,7.16,30.01,4.46,25.68,1.68,23.18,70.32,129.48,5.79,3.0,0.38,7.93,138.43,0.3644838686867151,-0.007142679075365173,0.5642326848906687,0.4042699093925149,-163.64,15.68,5.89,58.69,15.11,27.58,129.02,7.22,-152.24,-21.54000000000002,2.190558916244828,2.15,0.5299999999999998,0.14,-1.33,1.0
(주)휴먼텍코리아,66060,2012,46.86,47.61,8.83,-11.41,-34.02,-18.67,-24.5,-45.38,-26.44,0.0,46.86,0.0,0.0,6.32,1.08,2.79,-72.92000000000002,0.6585962899104761,-0.8331331874191421,1.4129811920608928,-7.082521794946081,-24.47,27.35,33.989999999999995,-32.330000000000005,-15.77,-5.34,89.55,-10.8,-24.47,-649.92,-1.4203073933027586,0.0,3.7,0.2600000000000001,-0.20000000000000015,1.0
(주)희훈디앤지,19640,2008,27.15,66.31,37.43,29.28,-48.72,-13.03,-19.71,-66.34,-24.68,0.0,25.77,0.0,125.22,4.12,1.25,3.03,-29.11,0.4017926639461989,-1.442501165898432,1.6905444414169841,-5.6862760396982726,-77.39000000000001,22.34,-256.95000000000005,-139.57,-23.47,-22.67,9.46,-27.36,-78.02000000000002,-200.4,-6.712620649924593,37.17999999999999,2.22,0.35,-0.040000000000000036,1.0
네오세미테크(주),89240,2009,72.89,71.07,-14.85,19716.65,1075.1,-42.86,-80.29,-447.89,-12.56,-424.21,50.56,903.72,1.11,16.07,0.16,52.19,345.11999999999995,0.4954545454545455,-0.5,0.9,-2.228542256269766,-632.91,13.43,19802.16,1107.9599999999996,-60.41,-81.63000000000002,-415.97,-13.82,-585.99,896.74,-3.3434236736487373,-6.27,7.460000000000001,-0.7799999999999999,35.75,1.0
대흥멀티미디어통신(주),37250,2003,88.58,60.25,-25.53,-87.68,-49.77,12.89,-42.8,-157.71,-31.54,-234.69,69.1,2332.41,4.34,4.14,0.74,15.23,148.32000000000005,0.7670593005285112,-1.599089862014136,0.9588884390560268,-9.507424531700432,-2605.35,-44.41,-114.28,-43.6,-4.329999999999998,-45.04,-236.29,-33.15,-1754.3300000000004,2294.14,-10.445828171944038,-0.2599999999999998,-0.5500000000000007,0.020000000000000014,-25.41,1.0
디이시스(주),53200,2003,117.12,28.4,3.4,-16.26,-26.25,17.33,-9.0,-46.37,-10.19,-105.07,88.09,157.51,9.28,3.87,1.13,11.68,102.37000000000002,0.5750526603284866,-0.1558592116267711,0.6116681825464808,-7.572558099243194,-74.44999999999997,2.22,-46.99,-27.76,-7.630000000000003,-7.28,-103.82,-8.54,-61.04999999999998,85.77999999999999,-5.0772858324639625,-1.16,0.7200000000000002,0.16999999999999993,-0.5400000000000009,1.0
모빌링크텔레콤(주),41310,2008,45.94,82.48,7.67,-16.01,-54.43,9.4,-6.65,-95.13,-8.87,0.0,37.1,0.0,12.77,13.36,1.33,5.47,-10.800000000000004,0.5907018313697414,-2.2136490811573504,1.3135171726554369,-0.9048642360089898,-56.3,-68.28,-36.85,-213.51,-1.709999999999999,-3.640000000000001,3.01,-4.949999999999998,-43.8,-95.46,1.9154898928805573,2.289999999999999,0.8099999999999987,0.030000000000000027,-0.6699999999999999,1.0
산양전기(주),79870,2008,15.47,86.61,-58.91,-22.46,-33.33,-65.72,-126.07,-157.48,-48.38,0.0,13.63,0.0,10.74,5.73,0.38,5.33,29.18000000000001,0.17172486972207596,-1.650988670360784,1.1309127040491609,-4.698134705275068,-28.300000000000004,0.5900000000000034,-4.370000000000001,-4.729999999999997,-29.67,-80.41,135.65,-18.770000000000003,-23.2,-538.36,2.2766750367714144,-0.3300000000000001,-6.699999999999998,-0.27,-1.1500000000000004,1.0
