Date,Close,Open,High,Low,Volume,Change
1987-06-08,383.93,383.93,383.93,383.93,4830000.0,-0.0027
1987-06-09,386.78,386.78,386.78,386.78,5980000.0,0.0074
1987-06-10,388.73,388.73,388.73,388.73,7180000.0,0.005
1987-06-11,392.03,392.03,392.03,392.03,6760000.0,0.0085
1987-06-12,392.5,392.5,392.5,392.5,6810000.0,0.0012
1987-06-13,385.97,385.97,385.97,385.97,3100000.0,-0.0166
1987-06-15,389.77,389.77,389.77,389.77,5290000.0,0.0098
1987-06-16,386.03,386.03,386.03,386.03,5020000.0,-0.0096
1987-06-17,379.82,379.82,379.82,379.82,4530000.0,-0.0161
1987-06-18,388.11,388.11,388.11,388.11,5740000.0,0.0218
1987-06-19,378.21,378.21,378.21,378.21,4230000.0,-0.0255
1987-06-20,381.01,381.01,381.01,381.01,2410000.0,0.0074
1987-06-22,385.7,385.7,385.7,385.7,4470000.0,0.0123
1987-06-23,387.75,387.75,387.75,387.75,4500000.0,0.0053
1987-06-24,388.02,388.02,388.02,388.02,3880000.0,0.0007000000000000001
1987-06-25,380.9,380.9,380.9,380.9,3250000.0,-0.0183
1987-06-26,382.1,382.1,382.1,382.1,3460000.0,0.0032
1987-06-27,387.42,387.42,387.42,387.42,3430000.0,0.0139
1987-06-29,404.1,404.1,404.1,404.1,4030000.0000000005,0.0431
1987-06-30,411.76,411.76,411.76,411.76,6110000.0,0.019
1987-07-01,411.94,411.94,411.94,411.94,8760000.0,0.0004
1987-07-02,411.03,411.03,411.03,411.03,6780000.0,-0.0022
1987-07-03,415.33,415.33,415.33,415.33,7720000.0,0.0105
1987-07-04,422.16,422.16,422.16,422.16,6350000.0,0.016399999999999998
1987-07-06,427.15,427.15,427.15,427.15,8690000.0,0.0118
1987-07-07,433.59,433.59,433.59,433.59,10310000.0,0.0151
1987-07-08,436.52,436.52,436.52,436.52,10230000.0,0.0068000000000000005
1987-07-09,441.02,441.02,441.02,441.02,9600000.0,0.0103
1987-07-10,453.36,453.36,453.36,453.36,8620000.0,0.027999999999999997
1987-07-11,466.32,466.32,466.32,466.32,7410000.0,0.0286
1987-07-13,465.51,465.51,465.51,465.51,9950000.0,-0.0017000000000000001
1987-07-14,467.3,467.3,467.3,467.3,9940000.0,0.0038
1987-07-15,458.93,458.93,458.93,458.93,7750000.0,-0.0179
1987-07-16,460.72,460.72,460.72,460.72,8510000.0,0.0039000000000000003
1987-07-18,464.51,464.51,464.51,464.51,5410000.0,0.008199999999999999
1987-07-20,464.7,464.7,464.7,464.7,7530000.0,0.0004
1987-07-21,464.68,464.68,464.68,464.68,6000000.0,-0.0
1987-07-22,463.51,463.51,463.51,463.51,7290000.0,-0.0025
1987-07-23,460.71,460.71,460.71,460.71,6010000.0,-0.006
1987-07-24,463.73,463.73,463.73,463.73,7000000.0,0.0066
1987-07-25,466.38,466.38,466.38,466.38,5880000.0,0.005699999999999999
1987-07-27,467.02,467.02,467.02,467.02,6010000.0,0.0014000000000000002
1987-07-28,473.59,473.59,473.59,473.59,8650000.0,0.0141
1987-07-29,474.98,474.98,474.98,474.98,8180000.0,0.0029
1987-07-30,483.64,483.64,483.64,483.64,8630000.0,0.0182
1987-07-31,485.48,485.48,485.48,485.48,8940000.0,0.0038
1987-08-01,481.5,481.5,481.5,481.5,4790000.0,-0.008199999999999999
1987-08-03,480.92,480.92,480.92,480.92,7610000.0,-0.0012
1987-08-04,487.72,487.72,487.72,487.72,8500000.0,0.0141
1987-08-05,491.95,491.95,491.95,491.95,10120000.0,0.0087
1987-08-06,490.1,490.1,490.1,490.1,7210000.0,-0.0038
1987-08-07,475.66,475.66,475.66,475.66,6770000.0,-0.029500000000000002
1987-08-08,468.89,468.89,468.89,468.89,4050000.0,-0.014199999999999999
1987-08-10,481.04,481.04,481.04,481.04,6770000.0,0.0259
1987-08-11,471.97,471.97,471.97,471.97,5900000.0,-0.0189
1987-08-12,471.34,471.34,471.34,471.34,6480000.0,-0.0013
1987-08-13,476.71,476.71,476.71,476.71,7670000.0,0.011399999999999999
1987-08-14,487.25,487.25,487.25,487.25,8600000.0,0.022099999999999998
1987-08-17,488.57,488.57,488.57,488.57,6680000.0,0.0027
1987-08-18,491.81,491.81,491.81,491.81,7320000.0,0.0066
1987-08-19,500.73,500.73,500.73,500.73,9800000.0,0.0181
1987-08-20,502.65,502.65,502.65,502.65,11280000.0,0.0038
1987-08-21,507.07,507.07,507.07,507.07,8680000.0,0.0088
1987-08-22,502.47,502.47,502.47,502.47,10910000.0,-0.0091
1987-08-24,491.01,491.01,491.01,491.01,5490000.0,-0.022799999999999997
1987-08-25,484.37,484.37,484.37,484.37,7250000.0,-0.013500000000000002
1987-08-26,481.97,481.97,481.97,481.97,5480000.0,-0.005
1987-08-27,480.63,480.63,480.63,480.63,5250000.0,-0.0028000000000000004
1987-08-28,467.31,467.31,467.31,467.31,4720000.0,-0.0277
1987-08-29,461.87,461.87,461.87,461.87,4160000.0,-0.0116
1987-08-31,474.01,474.01,474.01,474.01,4030000.0000000005,0.0263
1987-09-01,468.38,468.38,468.38,468.38,5660000.0,-0.011899999999999999
1987-09-02,475.2,475.2,475.2,475.2,4420000.0,0.0146
1987-09-03,467.81,467.81,467.81,467.81,5560000.0,-0.015600000000000001
1987-09-04,467.73,467.73,467.73,467.73,4790000.0,-0.0002
1987-09-05,464.88,464.88,464.88,464.88,2990000.0,-0.0060999999999999995
1987-09-07,473.4,473.4,473.4,473.4,4139999.9999999995,0.0183
1987-09-08,472.51,472.51,472.51,472.51,3930000.0,-0.0019
1987-09-09,478.92,478.92,478.92,478.92,4300000.0,0.013600000000000001
1987-09-10,484.42,484.42,484.42,484.42,5270000.0,0.0115
1987-09-11,483.75,483.75,483.75,483.75,5730000.0,-0.0014000000000000002
1987-09-12,484.03,484.03,484.03,484.03,2750000.0,0.0006
1987-09-14,492.45,492.45,492.45,492.45,4560000.0,0.0174
1987-09-15,493.18,493.18,493.18,493.18,6690000.0,0.0015
1987-09-16,497.9,497.9,497.9,497.9,6950000.0,0.0096
1987-09-17,498.34,498.34,498.34,498.34,6450000.0,0.0009
1987-09-18,490.34,490.34,490.34,490.34,5750000.0,-0.0161
1987-09-19,492.49,492.49,492.49,492.49,3800000.0,0.0044
1987-09-21,484.59,484.59,484.59,484.59,4600000.0,-0.016
1987-09-22,488.52,488.52,488.52,488.52,5480000.0,0.008100000000000001
1987-09-23,484.68,484.68,484.68,484.68,4070000.0000000005,-0.0079
1987-09-24,469.27,469.27,469.27,469.27,4040000.0,-0.0318
1987-09-25,483.31,483.31,483.31,483.31,5180000.0,0.029900000000000003
