날짜,시가,고가,저가,종가,거래량,거래대금
2021-04-14,423.56,428.86,422.28,427.72,537455701,950825040422
2021-04-15,427.69,427.8,422.92,423.47,168282353,548846269605
2021-04-16,424.04,428.68,422.46,427.77,116575563,455133888111
2021-04-19,428.34,429.29,425.65,427.32,114462474,480937195893
2021-04-20,426.93,433.07,426.73,432.12,68656181,436773109296
2021-04-21,430.55,430.55,422.1,423.18,846560122,783131659835
2021-04-22,423.42,426.21,419.92,422.66,890255498,827651689124
2021-04-23,422.14,425.04,417.79,422.61,1319054949,1248232334716
2021-04-26,427.69,429.27,426.89,427.49,505138288,853927316925
2021-04-27,427.6,429.13,424.47,427.74,642941140,960039962600
2021-04-28,427.5,430.44,418.6,420.6,539033889,946837703222
2021-04-29,420.53,432.29,420.53,430.71,212979985,1082418020523
2021-04-30,430.87,433.35,424.97,425.76,194696205,1020955246206
2021-05-03,427.01,429.13,418.4,419.77,122285121,823364417308
2021-05-04,419.86,424.62,415.54,420.3,205216495,906153044858
2021-05-06,420.66,425.6,416.96,424.68,109325018,668529948485
2021-05-07,425.71,432.69,425.71,431.42,130789215,831387215706
2021-05-10,432.75,443.39,432.66,443.0,104623410,882920753500
2021-05-11,442.5,443.08,435.62,441.06,105447586,776528628963
2021-05-12,442.11,443.75,432.04,438.4,206200221,819826760760
2021-05-13,434.98,437.78,429.08,430.21,103124290,750162123054
2021-05-14,430.93,439.43,430.93,437.98,64286173,570880761567
2021-05-17,438.98,441.98,436.15,439.78,66282160,567612860558
2021-05-18,440.06,443.91,439.72,441.01,77628269,506483233919
2021-05-20,440.8,440.8,432.69,437.85,182136468,479001506886
2021-05-21,438.57,439.8,429.89,430.97,120078831,553271877453
2021-05-24,430.61,432.18,426.93,429.51,59443935,338334435332
2021-05-25,429.72,435.28,429.55,435.01,50742300,348787646838
2021-05-26,435.13,438.68,435.13,438.03,601311086,833352685606
2021-05-27,438.53,441.46,436.24,436.24,355919122,883727624754
2021-05-28,436.67,440.21,436.67,439.18,212518731,479348317359
2021-05-31,439.28,443.59,437.94,443.59,105096994,653536644616
2021-06-01,444.53,451.53,444.53,450.87,341378509,901422099658
2021-06-02,450.84,452.61,446.76,450.58,250582456,877481860585
2021-06-03,451.72,453.75,449.21,449.97,151348429,611695805723
2021-06-04,449.8,449.8,443.18,444.22,191924047,589921094483
2021-06-07,446.76,449.39,442.51,449.36,458893780,679868452598
2021-06-08,449.11,451.75,448.3,449.53,202540168,531425403220
2021-06-09,449.75,452.17,446.63,446.63,289732361,916576073693
2021-06-10,446.18,449.32,444.39,447.03,122860826,558143424357
2021-06-11,447.01,449.63,444.55,446.7,145450017,431623145598
2021-06-14,447.11,447.46,443.06,444.84,96139736,431756527963
2021-06-15,444.87,444.95,440.4,441.53,146576984,434480532681
2021-06-16,441.66,444.65,439.67,443.67,140866420,676960448660
2021-06-17,443.86,443.94,439.37,440.63,169317003,779650227721
2021-06-18,441.3,442.06,437.82,438.78,231128591,945031177734
2021-06-21,438.7,438.7,428.63,430.39,165662825,802955611237
2021-06-22,430.86,435.44,430.86,434.9,147934076,572092430067
2021-06-23,435.05,435.4,431.72,432.35,107662574,552824839782
2021-06-24,432.32,432.89,429.53,432.81,127817617,810895943897
2021-06-25,433.1,440.19,433.1,440.16,128661918,900174418925
2021-06-28,440.07,443.04,437.77,442.49,549204710,909937108518
2021-06-29,442.47,442.71,439.84,442.64,244588400,725379703309
2021-06-30,442.27,442.71,440.02,441.28,849862053,976313157139
2021-07-01,441.17,441.29,434.48,435.78,257193386,518515812606
2021-07-02,435.58,437.82,433.8,434.44,153571021,476451763711
2021-07-05,434.59,435.93,433.56,433.97,93909421,301332007405
2021-07-06,434.06,438.77,434.06,437.18,138306245,588281655592
2021-07-07,435.63,435.63,431.3,432.22,147701266,702473242297
2021-07-08,432.88,432.88,425.74,425.74,93100626,542552548848
2021-07-09,425.41,425.41,413.72,418.43,334607380,737912867709
2021-07-12,418.9,425.99,418.9,424.54,94782563,358046375985
2021-07-13,425.16,432.36,425.16,431.29,183686259,977781565941
2021-07-14,431.18,436.52,427.23,436.18,140342920,1237111448452
2021-07-15,436.33,437.16,433.67,435.24,260613161,845017693441
2021-07-16,435.11,435.49,430.35,434.88,102299136,546514350677
2021-07-19,432.17,432.17,427.0,429.57,314489440,1035164430797
2021-07-20,427.13,427.13,423.42,425.9,177792512,780314244565
2021-07-21,428.88,432.27,427.28,430.12,150151054,740312608084
2021-07-22,431.57,434.97,431.57,434.4,87357869,658725212301
2021-07-23,433.92,437.66,433.92,437.05,128048832,797996499607
2021-07-26,438.34,439.02,433.87,433.87,129527987,717560798192
2021-07-27,437.96,441.54,437.0,437.5,263387005,1094231767653
2021-07-28,437.76,442.6,437.33,441.14,172854706,828175283650
2021-07-29,443.65,445.29,441.58,444.32,88820913,525972476441
2021-07-30,443.34,443.34,436.46,438.83,78996521,487816833078
2021-08-02,440.56,442.2,437.99,441.17,67303547,432742054890
2021-08-03,439.53,440.48,434.06,439.21,87827746,481183426107
2021-08-04,439.73,445.96,438.06,445.76,110057899,539930201361
2021-08-05,444.71,446.94,443.64,445.84,60499799,394911967579
2021-08-06,445.9,447.5,443.32,444.7,72590263,430892278734
2021-08-09,442.69,443.6,438.72,440.86,69895937,417140578241
2021-08-10,441.4,442.11,434.82,436.93,145344121,544490745645
2021-08-11,436.85,438.23,432.48,435.36,71628867,456074178760
2021-08-12,436.05,438.0,430.24,430.69,51830021,449248266606
2021-08-13,432.48,434.67,423.32,428.85,63754356,517954173529
2021-08-17,429.53,430.71,417.87,419.41,67895871,643743612410
2021-08-18,418.86,422.51,417.44,420.58,73530344,452571703300
2021-08-19,418.34,419.76,405.92,406.04,72028439,625146822579
2021-08-20,408.75,410.04,398.73,399.72,102634195,556693882968
2021-08-23,404.1,409.4,401.61,406.73,55074573,322581771857
2021-08-24,409.52,418.21,409.52,416.98,50886889,380795665241
2021-08-25,418.92,422.39,416.38,419.32,47291714,295171907692
2021-08-26,419.57,422.77,416.66,417.56,35844668,300211218199
